ID,?��,distance,angle,x,y
6,-3,0.007,32.97164406,120.2304217,23.60927471
6,-3,0.008,29.41773362,120.2309409,23.61012911
6,-3,0.009,26.609632,120.2314132,23.61101039
6,-3,0.01,24.14284795,120.2318469,23.61191137
6,-3,0.011,21.72615102,120.2322436,23.61282922
6,-3,0.012,19.7969514,120.2326021,23.61376265
6,-3,0.013,17.01695273,120.2329219,23.61471
6,-3,0.014,14.53765491,120.2331983,23.61567087
6,-3,0.015,11.32117595,120.2334198,23.61664581
6,-3,0.016,9.060350311,120.2335916,23.61763085
6,-3,0.017,2.444889969,120.2336938,23.61862496
6,-3,0.018,358.3435861,120.2337105,23.61962452
6,-3,0.019,354.2155429,120.2336528,23.62062251
6,-3,0.02,347.4245759,120.2334904,23.62160828
6,-3,0.021,343.3997693,120.2332361,23.62257501
6,-3,0.022,337.0410072,120.2328873,23.62351169
6,-3,0.023,332.193617,120.2324439,23.62440766
6,-3,0.024,323.7132425,120.2318974,23.62524458
6,-3,0.025,317.340079,120.2312039,23.62596244
6,-3,0.026,313.35806,120.2304962,23.62666816
6,-3,0.027,305.8152314,120.2297163,23.62729314
6,-3,0.028,300.0017576,120.228882,23.62784352
6,-3,0.029,296.6047384,120.2280005,23.62831476
6,-3,0.03,294.1397282,120.2270944,23.62873758
6,-3,0.031,292.2453819,120.2261724,23.62912465
6,-3,0.032,292.1188036,120.2252503,23.62951143
6,-3,0.033,294.5949811,120.2243311,23.62990506
6,-3,0.034,299.5180773,120.2234359,23.63034996
6,-3,0.035,307.2028213,120.2225851,23.63087427
6,-3,0.036,312.4841486,120.2218145,23.63151017
6,-3,0.037,323.8076318,120.2211524,23.63225698
6,-3,0.038,335.4413489,120.2206379,23.633112
6,-3,0.039,345.7536337,120.2202906,23.63404762
6,-3,0.04,354.4754085,120.2201173,23.6350309
6,-3,0.041,1.701575536,120.2200927,23.63602951
6,-3,0.042,7.462200564,120.2201903,23.6370242
6,-3,0.043,13.64871621,120.2203813,23.63800555
6,-3,0.044,16.95046615,120.2206361,23.63897233
6,-3,0.045,18.72948469,120.2209431,23.63992399
6,-3,0.046,6.876319884,120.2212288,23.64087788
6,-3,0.047,16.7449424,120.2213375,23.64186272
6,-3,0.048,16.19074033,120.2216247,23.64282055
6,-3,0.049,15.06139805,120.2218695,23.64378988
6,-3,0.05,13.60441723,120.2221176,23.6447586
6,-3,0.051,12.05721314,120.2223451,23.64573233
6,-3,0.052,11.52753053,120.2225531,23.64671046
6,-3,0.053,8.709152763,120.2227355,23.64769351
6,-3,0.054,9.099245533,120.2228962,23.64868048
6,-3,0.055,8.168010817,120.2230439,23.6496695
6,-3,0.056,359.4256958,120.2231709,23.65066078
6,-3,0.057,354.3729738,120.2232036,23.65165705
6,-3,0.058,321.0101842,120.2229518,23.65259588
6,-3,0.059,347.9664476,120.2224829,23.65343383
6,-3,0.06,254.7685444,120.2216143,23.65356324
6,-3,0.061,261.0987385,120.2206239,23.65346344
6,-3,0.062,255.7511886,120.2196563,23.65321489
6,-3,0.063,256.9980077,120.2186744,23.6530325
6,-3,0.064,255.4456815,120.2176951,23.652836
6,-3,0.065,257.6339474,120.2167199,23.65261487
6,-3,0.066,258.5759317,120.2157397,23.65241707
6,-3,0.067,259.1153639,120.2147585,23.65222386
6,-3,0.068,259.6157496,120.2137754,23.6520411
6,-3,0.069,277.9586543,120.2127887,23.65198075
6,-3,0.07,258.1120333,120.2118026,23.65185496
6,-3,0.071,258.4299758,120.2108219,23.65165956
6,-3,0.072,260.9707956,120.2098384,23.65147948
6,-3,0.073,256.0551259,120.208863,23.65126065
6,-3,0.074,256.432205,120.2078901,23.65102949
6,-3,0.075,254.3616353,120.2069241,23.65077094
6,-3,0.076,253.1296357,120.2059647,23.65048917
6,-3,0.077,250.1996504,120.2050167,23.6501715
6,-3,0.078,245.71835,120.2040906,23.64979502
6,-3,0.079,239.2149293,120.2032017,23.64933855
6,-3,0.08,231.8151311,120.2023659,23.64879062
6,-3,0.081,228.0126591,120.2015981,23.6481506
6,-3,0.082,222.3200342,120.2008843,23.64745079
6,-3,0.083,219.3020491,120.2002256,23.6466987
6,-3,0.084,216.0680568,120.199611,23.64591011
6,-3,0.085,212.3853144,120.199058,23.64507735
6,-3,0.086,207.9774539,120.1985705,23.64420448
6,-3,0.087,203.1557193,120.1981545,23.64329549
6,-3,0.088,199.0128186,120.1978136,23.64235556
6,-3,0.089,190.7352933,120.1975676,23.64138668
6,-3,0.09,185.6623399,120.1974147,23.64039888
6,-3,0.091,180.7688959,120.1973559,23.63940111
6,-3,0.092,175.9315042,120.1973896,23.63840216
6,-3,0.093,171.2577464,120.1975135,23.63741024
6,-3,0.094,164.5929191,120.1977243,23.63643304
6,-3,0.095,160.8297892,120.1980126,23.63547574
6,-3,0.096,156.7621922,120.1983718,23.63454274
6,-3,0.097,153.2339785,120.1988011,23.63364007
6,-3,0.098,149.4787405,120.1992755,23.63276007
6,-3,0.099,147.5649845,120.1997946,23.63190545
6,-3,0.1,144.4425372,120.200342,23.6310687
6,-3,0.101,144.6644363,120.2009262,23.63025712
6,-3,0.102,143.8800061,120.2015154,23.62944916
6,-3,0.103,142.6925252,120.2021165,23.62865001
6,-3,0.104,143.1673688,120.2027204,23.62785302
6,-3,0.105,143.0991105,120.2033204,23.62705296
6,-3,0.106,144.2613851,120.2039101,23.62624537
6,-3,0.107,145.6347439,120.2044853,23.62542742
6,-3,0.108,146.9366118,120.2050412,23.62459627
6,-3,0.109,148.4827254,120.205575,23.62375068
6,-3,0.11,149.170659,120.2060914,23.6228944
6,-3,0.111,151.0158611,120.2065953,23.6220307
6,-3,0.112,151.7154402,120.2070764,23.62115403
6,-3,0.113,151.9111496,120.2075495,23.62027304
6,-3,0.114,152.2308341,120.2080237,23.61939263
6,-3,0.115,151.802131,120.2084991,23.61851282
6,-3,0.116,149.3814619,120.2089793,23.61763647
6,-3,0.117,149.2907804,120.2094872,23.61677509
6,-3,0.118,147.5358391,120.2100155,23.61592614
6,-3,0.119,145.7752987,120.2105694,23.61509361
