ID,下陷??Shape_Leng,angle,x,y,
2,-4,0.001,266.3693129,120.2047963,23.37455481
2,-4,0.002,271.0833559,120.203797,23.37453135
2,-4,0.003,276.0291868,120.2027989,23.37458454
2,-4,0.004,280.8834742,120.2018105,23.37473351
2,-4,0.005,285.8890859,120.2008387,23.37496705
2,-4,0.006,290.4237502,120.1998889,23.37527885
2,-4,0.007,294.5403318,120.1989647,23.37565996
2,-4,0.008,298.1814834,120.1980663,23.37609858
2,-4,0.009,299.6377904,120.1971922,23.37658411
2,-4,0.01,302.4175703,120.1963416,23.3771098
2,-4,0.011,304.7186029,120.1955093,23.37766399
2,-4,0.012,306.2573939,120.1946931,23.37824173
2,-4,0.013,306.9126735,120.1938901,23.3788376
2,-4,0.014,308.1461824,120.1930969,23.3794466
2,-4,0.015,307.9377545,120.1923096,23.38006311
2,-4,0.016,308.530579,120.1915263,23.38068472
2,-4,0.017,309.7008874,120.1907465,23.38131079
2,-4,0.018,309.3738099,120.1899732,23.38194481
2,-4,0.019,310.9049806,120.1892078,23.38258834
2,-4,0.02,311.2767814,120.188454,23.38324531
2,-4,0.021,312.9868584,120.1877128,23.38391658
2,-4,0.022,313.6988385,120.1869855,23.38460287
2,-4,0.023,315.4578303,120.1862715,23.38530299
2,-4,0.024,316.6594737,120.1855768,23.38602224
2,-4,0.025,318.373531,120.1848999,23.3867582
2,-4,0.026,319.9725727,120.1842467,23.38751536
2,-4,0.027,322.1620747,120.1836189,23.38829363
2,-4,0.028,325.0920497,120.1830223,23.38909603
2,-4,0.029,328.6635298,120.1824659,23.38992676
2,-4,0.03,330.4792466,120.1819598,23.3907891
2,-4,0.031,334.7023893,120.1815147,23.39168438
2,-4,0.032,341.8455346,120.1811428,23.39261236
2,-4,0.033,346.2678983,120.1808542,23.39356952
2,-4,0.034,350.8995368,120.1806479,23.39454759
2,-4,0.035,355.0184916,120.1805236,23.39553948
2,-4,0.036,359.3401012,120.1804798,23.39653814
2,-4,0.037,3.666009747,120.1805178,23.3975371
2,-4,0.038,10.85992148,120.1806459,23.39852847
2,-4,0.039,15.73894032,120.1808663,23.39950344
2,-4,0.04,20.13573393,120.1811716,23.40045531
2,-4,0.041,23.16523184,120.1815403,23.40138466
2,-4,0.042,24.93477124,120.1819467,23.40229832
2,-4,0.043,25.72254121,120.1823719,23.40320338
2,-4,0.044,25.19241973,120.1828028,23.40410582
2,-4,0.045,23.50396985,120.1832247,23.40501233
2,-4,0.046,25.21035742,120.1836483,23.40591802
2,-4,0.047,25.7503041,120.1840799,23.40682007
